epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4545.08,0.71133,1.23398,0.65091,1.06555,0.78164,0.6939,0.75973,0.59543,0.77481,0.68813,0.75106,0.52094,0.70482,1.3999,0.66626,1.20427,0.0011684,0.0011684,0.0011684
44,4647.81,0.69676,1.21182,0.62898,1.06045,0.75878,0.69686,0.73608,0.57197,0.7577,0.7024,0.7424,0.51749,0.69643,1.38905,0.65464,1.16729,0.0011486,0.0011486,0.0011486
45,4750.42,0.68927,1.18855,0.61497,1.04895,0.79373,0.71385,0.78701,0.59299,0.81204,0.69126,0.77973,0.52101,0.75921,1.48864,0.65207,1.20943,0.0011288,0.0011288,0.0011288
46,4853.01,0.67309,1.18381,0.61289,1.05216,0.83312,0.68,0.79285,0.59537,0.79227,0.71586,0.80341,0.53789,0.68473,1.40556,0.62234,1.15883,0.001109,0.001109,0.001109
47,4961.91,0.6792,1.18112,0.60478,1.04815,0.74824,0.69538,0.76165,0.5885,0.75008,0.71385,0.77642,0.53408,0.68434,1.31201,0.64313,1.13203,0.0010892,0.0010892,0.0010892
48,5064.86,0.67477,1.17573,0.60984,1.04809,0.80317,0.67077,0.75603,0.58695,0.80767,0.67385,0.76247,0.5298,0.6971,1.32301,0.64642,1.16743,0.0010694,0.0010694,0.0010694
49,5168.03,0.68303,1.1851,0.61273,1.05416,0.81622,0.64308,0.76504,0.58143,0.80777,0.63692,0.758,0.51665,0.7021,1.37148,0.65805,1.14793,0.0010496,0.0010496,0.0010496
50,5270.97,0.66507,1.15582,0.59529,1.04216,0.78984,0.66769,0.76233,0.58576,0.75001,0.69231,0.75521,0.5198,0.69993,1.34633,0.62142,1.1722,0.0010298,0.0010298,0.0010298
51,5373.86,0.66278,1.17269,0.59983,1.03201,0.83462,0.65217,0.76443,0.59988,0.72485,0.70519,0.75526,0.5348,0.67114,1.32719,0.63227,1.14009,0.00101,0.00101,0.00101
52,5476.31,0.65221,1.11552,0.58165,1.03551,0.83559,0.67077,0.78776,0.6143,0.83962,0.67657,0.7891,0.54736,0.63088,1.34605,0.59269,1.10304,0.0009902,0.0009902,0.0009902
53,5584.87,0.64456,1.11032,0.59318,1.02766,0.88282,0.66769,0.77588,0.60368,0.88132,0.66462,0.77497,0.53611,0.6615,1.40108,0.66147,1.12264,0.0009704,0.0009704,0.0009704
54,5687.7,0.62556,1.09969,0.57977,1.02145,0.77018,0.7012,0.77504,0.60181,0.76585,0.71077,0.77431,0.53971,0.65566,1.3895,0.60088,1.11327,0.0009506,0.0009506,0.0009506
55,5790.5,0.63623,1.09251,0.57174,1.02911,0.80237,0.70154,0.79435,0.6091,0.79886,0.69846,0.78502,0.54544,0.66084,1.3471,0.60743,1.13079,0.0009308,0.0009308,0.0009308
56,5893.5,0.62735,1.0992,0.55608,1.01734,0.83286,0.65538,0.7724,0.61535,0.84094,0.66154,0.77759,0.54487,0.62329,1.28745,0.58206,1.10142,0.000911,0.000911,0.000911
57,5996.32,0.61288,1.08505,0.53162,1.00966,0.75653,0.72661,0.7701,0.59433,0.75497,0.72308,0.7656,0.52996,0.67286,1.35145,0.66924,1.15293,0.0008912,0.0008912,0.0008912
58,6098.86,0.61494,1.05995,0.54956,1.00791,0.78782,0.71385,0.78472,0.598,0.78782,0.71385,0.77781,0.54037,0.65128,1.34511,0.59062,1.14715,0.0008714,0.0008714,0.0008714
59,6201.46,0.61099,1.07052,0.54405,1.01487,0.8238,0.65231,0.77177,0.59815,0.82581,0.65538,0.76725,0.54209,0.63684,1.32172,0.60943,1.12526,0.0008516,0.0008516,0.0008516
60,6304.38,0.61099,1.05899,0.5477,1.00579,0.7955,0.68923,0.7728,0.60769,0.7955,0.68923,0.77005,0.54455,0.63194,1.30759,0.59959,1.10729,0.0008318,0.0008318,0.0008318
61,6407.46,0.59289,1.03914,0.52655,0.99998,0.78918,0.65655,0.76632,0.59999,0.79288,0.65963,0.76418,0.53631,0.6463,1.31371,0.61485,1.11906,0.000812,0.000812,0.000812
62,6510.55,0.59506,1.02346,0.5185,0.99697,0.87986,0.63385,0.77758,0.60303,0.86578,0.62462,0.77141,0.54031,0.62448,1.26573,0.60571,1.11107,0.0007922,0.0007922,0.0007922
63,6613.81,0.57724,1.02241,0.50387,0.99072,0.86071,0.68923,0.77366,0.60818,0.84938,0.68308,0.76936,0.5399,0.61498,1.26348,0.62848,1.09154,0.0007724,0.0007724,0.0007724
64,6716.61,0.58283,0.99815,0.51232,0.98817,0.806,0.70154,0.78811,0.61095,0.80353,0.69846,0.78822,0.5494,0.64417,1.32688,0.59139,1.12473,0.0007526,0.0007526,0.0007526
65,6819.27,0.59225,1.03694,0.52071,1.00683,0.76338,0.73538,0.793,0.62255,0.75617,0.72923,0.7822,0.54747,0.61656,1.33959,0.56262,1.08979,0.0007328,0.0007328,0.0007328
66,6928.37,0.55778,0.99002,0.49904,0.99312,0.7666,0.72923,0.77457,0.60626,0.76875,0.72615,0.76929,0.54243,0.63772,1.31632,0.58217,1.11898,0.000713,0.000713,0.000713
67,7031.36,0.57087,1.00234,0.49844,0.98931,0.8068,0.71955,0.78776,0.6045,0.79261,0.69381,0.77803,0.54725,0.63781,1.32397,0.5848,1.10976,0.0006932,0.0006932,0.0006932
68,7134.43,0.5613,0.97018,0.4869,0.98708,0.80531,0.71274,0.78573,0.61685,0.79117,0.71109,0.77748,0.54513,0.64362,1.28994,0.59528,1.13965,0.0006734,0.0006734,0.0006734
69,7237.5,0.56869,0.98576,0.49397,0.98479,0.76038,0.74154,0.79828,0.63072,0.75007,0.73231,0.78417,0.5632,0.59834,1.33791,0.56037,1.0925,0.0006536,0.0006536,0.0006536
70,7345.95,0.56061,0.96955,0.48583,0.97959,0.86373,0.68308,0.77509,0.61432,0.83692,0.68308,0.76707,0.55378,0.57715,1.25502,0.56586,1.07018,0.0006338,0.0006338,0.0006338
71,7448.61,0.55575,0.96505,0.48048,0.97782,0.83571,0.68,0.78661,0.61795,0.83436,0.68197,0.77879,0.54194,0.62569,1.28922,0.61934,1.12073,0.000614,0.000614,0.000614
72,7551.48,0.55815,0.99091,0.48634,0.98576,0.79203,0.71077,0.78698,0.61918,0.81829,0.67692,0.7782,0.54567,0.60277,1.28554,0.59953,1.09172,0.0005942,0.0005942,0.0005942
73,7654.4,0.53928,0.95025,0.46466,0.97136,0.85738,0.67385,0.78512,0.61553,0.85346,0.67077,0.77872,0.55765,0.60852,1.22354,0.59902,1.08805,0.0005744,0.0005744,0.0005744
74,7757.33,0.53848,0.95192,0.47583,0.97651,0.80445,0.69846,0.78912,0.62078,0.77934,0.68615,0.7777,0.5593,0.61493,1.25157,0.58626,1.09586,0.0005546,0.0005546,0.0005546
75,7860.31,0.54731,0.9479,0.4718,0.97663,0.85661,0.68308,0.79332,0.62709,0.85661,0.68308,0.7876,0.56826,0.60979,1.25524,0.57927,1.11331,0.0005348,0.0005348,0.0005348
76,7968.91,0.538,0.94114,0.46982,0.96796,0.77602,0.72923,0.7859,0.61247,0.76293,0.71692,0.76912,0.5407,0.6033,1.25787,0.57827,1.09694,0.000515,0.000515,0.000515
77,8071.58,0.53372,0.94949,0.4655,0.97009,0.77949,0.72,0.79585,0.61982,0.78331,0.71077,0.77856,0.55845,0.62809,1.2772,0.56989,1.12442,0.0004952,0.0004952,0.0004952
78,8174.26,0.51887,0.9131,0.45449,0.96366,0.84446,0.66769,0.7833,0.62039,0.84057,0.66462,0.77207,0.56281,0.60814,1.21885,0.56212,1.09859,0.0004754,0.0004754,0.0004754
79,8276.94,0.51707,0.89635,0.44994,0.96645,0.85545,0.67077,0.78602,0.61986,0.85545,0.67077,0.77806,0.56529,0.57954,1.231,0.56143,1.06767,0.0004556,0.0004556,0.0004556
80,8379.75,0.51724,0.9122,0.44741,0.95956,0.87662,0.65586,0.80108,0.62446,0.8373,0.66507,0.7832,0.56957,0.59726,1.19762,0.55772,1.10402,0.0004358,0.0004358,0.0004358
81,8482.19,0.50927,0.91444,0.44301,0.95954,0.79137,0.71197,0.78311,0.61821,0.78584,0.71385,0.77462,0.56301,0.60057,1.22323,0.55921,1.10166,0.000416,0.000416,0.000416
82,8584.51,0.51311,0.88772,0.45096,0.95841,0.83178,0.68463,0.78743,0.62364,0.82829,0.68615,0.77975,0.56441,0.59987,1.23009,0.5422,1.09973,0.0003962,0.0003962,0.0003962
83,8687.01,0.50226,0.88563,0.42757,0.95651,0.90268,0.65641,0.78625,0.62336,0.89845,0.65334,0.77779,0.56697,0.59572,1.2309,0.5489,1.10556,0.0003764,0.0003764,0.0003764
84,8789.47,0.51269,0.88392,0.43669,0.9585,0.89788,0.64926,0.78639,0.6151,0.89362,0.64618,0.7723,0.55505,0.60226,1.24447,0.56446,1.10897,0.0003566,0.0003566,0.0003566
85,8892.3,0.50118,0.89598,0.42457,0.95449,0.83403,0.70154,0.79394,0.62949,0.8404,0.68308,0.77915,0.57241,0.56536,1.23406,0.51878,1.07979,0.0003368,0.0003368,0.0003368
86,9001.72,0.49201,0.85689,0.41081,0.94874,0.8198,0.72,0.79331,0.6269,0.80929,0.71077,0.78549,0.57397,0.56693,1.19486,0.53237,1.07316,0.000317,0.000317,0.000317
87,9104.69,0.48557,0.87733,0.40617,0.94138,0.82155,0.70154,0.80116,0.63627,0.81053,0.69231,0.78573,0.56894,0.55474,1.21172,0.51597,1.05523,0.0002972,0.0002972,0.0002972
88,9214.07,0.49811,0.8647,0.41765,0.9466,0.76383,0.75692,0.79969,0.62557,0.75348,0.74154,0.78466,0.56994,0.58836,1.25651,0.51581,1.0902,0.0002774,0.0002774,0.0002774
89,9316.81,0.48023,0.83003,0.40904,0.94142,0.84313,0.70154,0.80137,0.63522,0.83492,0.70028,0.79383,0.58037,0.57082,1.22762,0.51171,1.07669,0.0002576,0.0002576,0.0002576
90,9424.95,0.47256,0.8515,0.39645,0.94419,0.79877,0.74504,0.80312,0.63594,0.78539,0.73194,0.78748,0.57243,0.55469,1.21917,0.51703,1.0606,0.0002378,0.0002378,0.0002378
91,9527.61,0.40977,0.79367,0.35889,0.89558,0.85532,0.71077,0.81136,0.63796,0.84758,0.70462,0.79219,0.57993,0.56177,1.22371,0.52835,1.07164,0.000218,0.000218,0.000218
92,9636.1,0.38183,0.71642,0.32336,0.88033,0.834,0.69846,0.79433,0.63435,0.8271,0.69181,0.77573,0.57064,0.5829,1.22192,0.55702,1.08699,0.0001982,0.0001982,0.0001982
93,9738.48,0.38412,0.73383,0.31998,0.88058,0.859,0.70154,0.80597,0.63756,0.84719,0.69231,0.79487,0.57948,0.56192,1.20184,0.52802,1.06623,0.0001784,0.0001784,0.0001784
94,9840.65,0.37415,0.72036,0.31029,0.87907,0.89174,0.67385,0.81069,0.63663,0.8836,0.66769,0.796,0.58099,0.58012,1.22476,0.53447,1.08247,0.0001586,0.0001586,0.0001586
95,9948.57,0.36756,0.71794,0.30188,0.8745,0.81761,0.73538,0.80315,0.63261,0.84299,0.69231,0.78215,0.58047,0.56199,1.20988,0.5196,1.07457,0.0001388,0.0001388,0.0001388
96,10050.6,0.36484,0.7071,0.30651,0.87595,0.82451,0.72,0.80437,0.64186,0.82196,0.69607,0.78378,0.5821,0.56278,1.21367,0.53135,1.07001,0.000119,0.000119,0.000119
97,10159.3,0.37003,0.72013,0.30185,0.87586,0.79717,0.72308,0.80172,0.64228,0.8029,0.71385,0.78965,0.59035,0.55654,1.18023,0.51983,1.07946,9.92e-05,9.92e-05,9.92e-05
98,10268.4,0.35558,0.70261,0.30401,0.8759,0.84115,0.69231,0.79652,0.63829,0.83368,0.68615,0.78439,0.58313,0.55402,1.19331,0.53938,1.07475,7.94e-05,7.94e-05,7.94e-05
99,10370.8,0.35596,0.7055,0.29851,0.87705,0.86391,0.68923,0.79741,0.63979,0.85507,0.68308,0.78602,0.5824,0.55519,1.19869,0.53207,1.07211,5.96e-05,5.96e-05,5.96e-05
100,10473,0.34846,0.68398,0.28846,0.86108,0.87739,0.68308,0.79704,0.64315,0.86913,0.67692,0.78879,0.5846,0.54874,1.18303,0.52418,1.06533,3.98e-05,3.98e-05,3.98e-05
