epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,4896.59,0.49047,3.97128,0.19985,0.36962,1.01836,0.99304,1,0.99472,0.95637,0.86611,0.87143,0.8439,0.27602,0.33994,3.16168,0.08168,0.25361,0.88044,0.005149,0.005149,0.005149
51,4995.74,0.50388,3.95495,0.19435,0.3769,1.02468,0.99009,1,0.995,0.96445,0.88743,0.88095,0.86187,0.28943,0.32862,3.10588,0.07698,0.25032,0.86771,0.00505,0.00505,0.00505
52,5095.54,0.49269,3.92443,0.19335,0.36983,1.01592,0.99037,1,0.995,0.9485,0.86757,0.87619,0.83747,0.24719,0.3688,3.23577,0.08338,0.26432,0.89031,0.004951,0.004951,0.004951
53,5192.44,0.4989,4.02177,0.20054,0.36929,1.02686,0.99001,1,0.995,0.95559,0.8863,0.89524,0.88497,0.31059,0.33586,3.03457,0.11652,0.24705,0.87885,0.004852,0.004852,0.004852
54,5291.54,0.49293,3.81818,0.1902,0.36822,1.01917,0.98996,1,0.99495,0.96879,0.90039,0.90952,0.89766,0.32013,0.3202,2.92208,0.07787,0.24215,0.85803,0.004753,0.004753,0.004753
55,5386.09,0.49729,3.81248,0.19101,0.37238,1.02954,0.99313,1,0.99495,0.95986,0.89367,0.9,0.86987,0.29406,0.31779,3.00874,0.07911,0.24772,0.86423,0.004654,0.004654,0.004654
56,5480.2,0.48136,3.75912,0.19557,0.36311,1.01309,0.98987,1,0.9949,0.95684,0.87186,0.88095,0.85964,0.31635,0.32271,2.88849,0.07629,0.24034,0.86345,0.004555,0.004555,0.004555
57,5578.54,0.47416,3.69108,0.192,0.36018,1.01275,0.99525,0.99813,0.995,0.9735,0.91454,0.91722,0.91862,0.36162,0.30331,2.84576,0.09177,0.23775,0.85461,0.004456,0.004456,0.004456
58,5681.54,0.47499,3.65911,0.19397,0.35718,1.00755,0.98991,0.99524,0.9949,0.95376,0.92811,0.93333,0.92612,0.34652,0.33533,2.77614,0.08713,0.24209,0.866,0.004357,0.004357,0.004357
59,5781.23,0.46436,3.59482,0.1877,0.3535,1.00206,0.9943,0.99524,0.99495,0.97092,0.91324,0.91429,0.91606,0.38331,0.29322,2.80416,0.068,0.22454,0.84047,0.004258,0.004258,0.004258
60,5886.91,0.46327,3.55128,0.19221,0.3507,1.00749,0.98555,1,0.99486,0.96505,0.91871,0.91491,0.92459,0.37506,0.31008,2.6897,0.08593,0.23816,0.84984,0.004159,0.004159,0.004159
61,5989.54,0.45646,3.51831,0.18525,0.34734,1.00347,0.9901,0.99524,0.99491,0.97378,0.89534,0.9,0.89962,0.4104,0.3099,2.66644,0.07715,0.22917,0.85423,0.00406,0.00406,0.00406
62,6090.6,0.45458,3.43057,0.18932,0.34064,0.99937,0.9902,1,0.99491,0.96332,0.91003,0.91905,0.90126,0.37876,0.30153,2.64537,0.07069,0.23303,0.8468,0.003961,0.003961,0.003961
63,6189.36,0.45769,3.36529,0.19297,0.34577,1.00038,0.9948,1,0.995,0.96554,0.91423,0.91905,0.89789,0.40631,0.30308,2.50239,0.07737,0.22792,0.84341,0.003862,0.003862,0.003862
64,6288.24,0.44442,3.23153,0.18752,0.33398,0.99608,0.99524,0.99543,0.995,0.96851,0.92393,0.9254,0.91338,0.45632,0.29049,2.25891,0.07403,0.21685,0.85043,0.003763,0.003763,0.003763
65,6390.21,0.45115,3.15707,0.18871,0.33531,0.99963,0.99032,1,0.99495,0.97079,0.92902,0.9381,0.92741,0.46908,0.29567,2.20572,0.12743,0.22189,0.84825,0.003664,0.003664,0.003664
66,6493.38,0.44515,3.10792,0.18432,0.33992,0.99654,0.99449,1,0.995,0.97253,0.9566,0.9619,0.96306,0.52981,0.28397,1.99041,0.09211,0.21739,0.8417,0.003565,0.003565,0.003565
67,6596.53,0.43584,3.04421,0.18851,0.33398,0.994,0.99463,1,0.99495,0.96948,0.97095,0.97619,0.97739,0.53748,0.29163,1.92791,0.07901,0.22232,0.84257,0.003466,0.003466,0.003466
68,6698.22,0.44235,2.97783,0.1833,0.33375,0.99283,0.99482,1,0.995,0.9713,0.96156,0.96667,0.96455,0.52631,0.27557,1.91194,0.07469,0.20916,0.83643,0.003367,0.003367,0.003367
69,6794.77,0.4314,2.88161,0.18756,0.32399,0.98891,0.99472,1,0.995,0.97059,0.97097,0.97619,0.97442,0.55064,0.28465,1.81459,0.06878,0.21481,0.84029,0.003268,0.003268,0.003268
70,6897.82,0.43124,2.81444,0.18209,0.32387,0.98742,0.99454,1,0.995,0.97093,0.97557,0.98095,0.98406,0.58222,0.2795,1.72676,0.08283,0.21863,0.83694,0.003169,0.003169,0.003169
71,6996.99,0.42859,2.82173,0.18105,0.32017,0.99072,0.99342,1,0.995,0.97683,0.98396,0.99048,0.99423,0.60586,0.27297,1.6157,0.07404,0.21451,0.83425,0.00307,0.00307,0.00307
72,7094.18,0.42127,2.75687,0.18063,0.32078,0.98819,0.97956,0.99524,0.99481,0.97455,0.95498,0.95238,0.95698,0.57954,0.28209,1.63354,0.07463,0.21897,0.83228,0.002971,0.002971,0.002971
73,7188.63,0.42721,2.74895,0.18201,0.32365,0.98447,0.99523,0.99389,0.995,0.97289,0.98569,0.98436,0.99428,0.62662,0.26201,1.55782,0.07835,0.21576,0.82973,0.002872,0.002872,0.002872
74,7288.14,0.41944,2.67529,0.18561,0.31814,0.98396,0.99246,1,0.99495,0.97966,0.96873,0.97619,0.97443,0.64644,0.2626,1.4831,0.07663,0.20786,0.82457,0.002773,0.002773,0.002773
75,7386.71,0.42302,2.60704,0.17863,0.31722,0.97848,0.99474,1,0.995,0.98222,0.96628,0.97143,0.97201,0.64346,0.2638,1.47419,0.08007,0.20866,0.82192,0.002674,0.002674,0.002674
76,7482.55,0.4189,2.5328,0.17861,0.31433,0.98573,0.99454,1,0.995,0.97619,0.97086,0.97619,0.97333,0.63633,0.26921,1.48644,0.07378,0.21455,0.83091,0.002575,0.002575,0.002575
77,7578.64,0.41181,2.57725,0.17727,0.31695,0.97963,0.99332,1,0.995,0.98201,0.97913,0.98571,0.98433,0.65966,0.25985,1.39862,0.07307,0.19723,0.82471,0.002476,0.002476,0.002476
78,7678.72,0.39944,2.4898,0.17293,0.30917,0.97056,0.99436,1,0.99495,0.98183,0.97542,0.98095,0.9843,0.67285,0.25073,1.32822,0.0819,0.2021,0.81746,0.002377,0.002377,0.002377
79,7780.6,0.40941,2.52448,0.17881,0.31067,0.97884,0.99481,1,0.99491,0.97974,0.96638,0.97143,0.97339,0.66098,0.25334,1.39262,0.07575,0.20072,0.81586,0.002278,0.002278,0.002278
80,7880.6,0.40902,2.4971,0.17418,0.3115,0.97911,0.99471,1,0.99476,0.98047,0.97103,0.97619,0.96588,0.64075,0.25918,1.4148,0.06746,0.20124,0.81779,0.002179,0.002179,0.002179
81,7973.33,0.39238,2.41892,0.1784,0.30398,0.97529,0.99492,1,0.99491,0.98292,0.9807,0.98571,0.9868,0.69759,0.25,1.32135,0.07226,0.1913,0.81252,0.00208,0.00208,0.00208
82,8070.63,0.39665,2.35108,0.1694,0.3051,0.97076,0.99526,0.99992,0.99495,0.98077,0.99052,0.99516,0.99389,0.694,0.2513,1.28975,0.06879,0.19739,0.81519,0.001981,0.001981,0.001981
