epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5648.79,0.66106,1.17169,0.59492,1.05751,0.75656,0.7356,0.79726,0.62616,0.75387,0.73298,0.78997,0.56128,0.65941,1.40953,0.57568,1.10876,0.00100687,0.00100687,0.00100687
42,5787.72,0.67314,1.17442,0.61085,1.05608,0.87173,0.65828,0.79418,0.63629,0.8296,0.67548,0.78437,0.56001,0.63708,1.38136,0.57492,1.08749,0.000990365,0.000990365,0.000990365
43,5924.31,0.65632,1.14997,0.58488,1.05997,0.78281,0.73822,0.79637,0.63622,0.78353,0.73822,0.79362,0.55099,0.64434,1.41995,0.53673,1.11843,0.000973861,0.000973861,0.000973861
44,6060.52,0.66778,1.1806,0.60194,1.05339,0.80139,0.73037,0.81557,0.65707,0.80126,0.7356,0.81562,0.58576,0.63045,1.33454,0.52927,1.09454,0.000957358,0.000957358,0.000957358
45,6198.55,0.6423,1.11294,0.57942,1.04151,0.82103,0.72054,0.82219,0.65165,0.81891,0.72251,0.81465,0.59149,0.64079,1.34177,0.52834,1.09924,0.000940855,0.000940855,0.000940855
46,6336.36,0.64367,1.1418,0.58727,1.04391,0.85837,0.68223,0.80847,0.63428,0.85183,0.67724,0.80178,0.57464,0.66212,1.30957,0.57413,1.13937,0.000924352,0.000924352,0.000924352
47,6476.13,0.6482,1.15085,0.57482,1.04199,0.83568,0.69231,0.80011,0.64597,0.82755,0.69634,0.79929,0.58001,0.61031,1.35617,0.5279,1.09435,0.000907848,0.000907848,0.000907848
48,6612.51,0.63523,1.11605,0.56324,1.03931,0.77247,0.75545,0.81714,0.65826,0.77783,0.76068,0.8278,0.58809,0.6185,1.33599,0.51739,1.10031,0.000891345,0.000891345,0.000891345
49,6752.26,0.6358,1.14696,0.56886,1.03749,0.8458,0.68586,0.81398,0.63466,0.82066,0.70678,0.81482,0.57521,0.66134,1.32248,0.55275,1.12946,0.000874842,0.000874842,0.000874842
50,6888.66,0.62177,1.11278,0.56898,1.04039,0.8355,0.72251,0.81589,0.65421,0.8355,0.72251,0.8097,0.5807,0.61591,1.28622,0.54056,1.09929,0.000858338,0.000858338,0.000858338
51,7024.86,0.62119,1.11556,0.55443,1.0399,0.79271,0.70942,0.80453,0.64763,0.80813,0.71204,0.80509,0.58213,0.62824,1.23946,0.55921,1.0947,0.000841835,0.000841835,0.000841835
52,7164.64,0.6071,1.08167,0.54807,1.02447,0.79257,0.75019,0.82124,0.64743,0.78641,0.74216,0.80836,0.58445,0.63841,1.29909,0.52813,1.11766,0.000825332,0.000825332,0.000825332
53,7301.14,0.61154,1.07427,0.54623,1.02628,0.83049,0.73105,0.8243,0.64885,0.82749,0.72251,0.82345,0.58044,0.61782,1.31748,0.5078,1.08784,0.000808828,0.000808828,0.000808828
54,7437.39,0.60407,1.09548,0.54785,1.0243,0.79066,0.74346,0.81588,0.65315,0.79638,0.7356,0.81435,0.59032,0.61886,1.28433,0.50885,1.09172,0.000792325,0.000792325,0.000792325
55,7573.27,0.59628,1.06312,0.53552,1.02841,0.83659,0.7356,0.82466,0.66258,0.81942,0.73298,0.81735,0.58666,0.60695,1.30523,0.53276,1.09179,0.000775822,0.000775822,0.000775822
